source1_entity_id,matched_entity_ids
S1-793447671,"S2-888569504,S2-895081043,S3-388747679,S3-325254367"
S1-369720553,"S2-736703322,S2-309368741,S3-439447419"
S1-216137765,"S2-190915441,S2-680612609,S2-410963764,S2-904465183,S3-818304481"
S1-9455909,"S2-646408552,S3-384632970,S3-393934040,S3-133372803,S3-609989467"
S1-796816825,"S2-347326271,S2-196975670,S3-896547694"
S1-3006430,"S2-181659751,S2-794710696"
S1-922626199,"S2-851752978,S3-286175400,S3-1218889,S3-564988957,S3-841777268"
S1-862024840,"S2-74265858,S3-187313683"
S1-91229135,"S2-73405606,S3-960685971,S3-776763819"
S1-854284989,"S2-580208171,S2-54609117,S3-676690737,S3-317013910"
S1-446697179,"S2-377640723,S2-922150401,S2-86619877,S3-142602324,S3-787413121"
S1-996012175,"S2-168466570,S2-269681023,S2-322555091,S3-153285717,S3-666964577,S3-522751192"
S1-424050882,S3-37198119
S1-441851025,"S2-794479832,S3-516789702"
S1-894049089,"S2-972003483,S3-841264731,S3-892940011"
S1-683515854,"S2-756250340,S2-434073238,S2-597139895,S3-145863982,S3-406939248"
S1-297294757,"S2-831679005,S3-802514980,S3-595893944,S3-17545461"
S1-287953061,"S2-423926954,S2-713716483,S3-161833863,S3-368347834"
S1-635770223,"S2-329661878,S2-117370496,S3-755529230,S3-52020616"
S1-971813156,S3-394463058
S1-734355564,"S3-111095129,S3-854314313"
S1-477776195,"S2-871236056,S3-723948056,S3-109807026"
S1-821434436,"S2-965836188,S3-869884588"
S1-45260965,"S3-722543767,S3-602719548,S3-339187428"
S1-93741603,"S2-535692078,S3-730249237,S3-981096747,S3-660744201,S3-782738358,S3-78873124"
S1-472139199,"S2-122544659,S3-403396329,S3-474761183"
S1-247776121,"S2-651967616,S2-867573251,S3-430990586,S3-422475598"
S1-805056706,"S2-155276085,S2-152730216,S3-538340664,S3-217277717,S3-786470510"
S1-106072003,S2-699555547
S1-562378871,"S2-164774900,S2-125217177,S3-361884466"
S1-981013217,"S2-133339848,S3-123466797,S3-967493646,S3-878103824,S3-204939280"
S1-573706294,"S2-20524568,S3-436229899,S3-694735964,S3-953602697,S3-626666235"
S1-310827934,"S2-720050181,S2-169546802,S2-186080711"
S1-217362890,"S2-764924647,S3-871408188"
S1-879276752,"S2-943394264,S3-570651750,S3-144339303"
S1-921549539,"S2-553145531,S3-483530074,S3-596285936"
S1-906428444,"S2-91790174,S2-321816304,S2-664348256,S3-932095902,S3-751767229,S3-129054940,S3-71002681"
S1-505333132,"S2-238550131,S3-551152157,S3-484968993"
S1-88224713,
S1-136601270,"S2-254817327,S3-449970897,S3-162285797,S3-311795383"
S1-350234058,S3-90766911
S1-838355310,"S2-351731497,S2-248722765,S2-58376459,S3-460098477"
S1-155848476,"S2-306873906,S2-911723717,S3-79854379"
S1-156380173,"S2-755422053,S2-905679603,S2-954495419,S3-713859403"
S1-549559960,"S2-848203707,S3-292200508,S3-231650119"
S1-897282581,"S2-522109781,S2-812189457,S3-747124468"
S1-237739500,"S3-679029492,S3-797828547,S3-148513444"
S1-357837082,"S2-236157315,S2-65680643,S3-245902676"
S1-292603366,"S2-757482340,S2-638471523,S2-805392241,S2-295843240,S3-77023816"
S1-108246457,"S2-463492748,S2-883950674,S3-838268095,S3-122500755"
S1-727766958,"S2-489771335,S3-262641232,S3-216771625"
S1-719571188,
S1-646393119,"S2-636746717,S3-433892033,S3-465583962,S3-886048349"
S1-723966103,"S2-399866773,S2-334991974,S3-73180305,S3-161755914"
S1-76693096,"S2-78074287,S2-160988895,S3-215540151"
S1-967724835,"S2-457310582,S3-682315461,S3-178777115"
S1-288276341,S3-815540739
S1-887125153,S2-448398036
S1-304029686,"S2-469411714,S2-948269515,S3-645171149,S3-270996986"
S1-166609944,"S2-429123768,S2-991673471,S3-91858577,S3-912252220"
S1-178800424,"S2-23183100,S3-900652028"
S1-924630389,"S2-143853453,S3-831568644,S3-10826619"
S1-81771195,"S2-338811924,S3-939808100,S3-616109"
S1-403692077,
S1-745867296,S2-43113841
S1-671241040,S2-904226109
S1-557991692,"S2-88682972,S3-176178171,S3-853727007"
S1-8713989,"S2-37189974,S3-58380591,S3-817876291,S3-588750081,S3-20459433"
S1-945360052,"S2-146961832,S2-768746975,S3-416879878,S3-993303669,S3-403273737"
S1-555242352,"S2-810626996,S2-253027494,S2-256698756,S3-884140951"
S1-56911061,"S2-689298806,S3-49524617,S3-632926404"
S1-270043704,"S2-807921453,S3-397763900"
S1-477515156,"S2-315095658,S2-154913443,S3-311437617,S3-979362679"
S1-149024193,"S2-186116098,S3-604630789"
S1-625272950,"S2-526399876,S3-618327131"
S1-225124222,"S2-686284157,S2-563632605,S3-512465987,S3-538964283"
S1-754023472,"S2-420202495,S3-176329043,S3-616793249"
S1-302461695,"S2-36747880,S3-420979078"
S1-692219144,"S2-974874434,S2-523089825,S3-560129335"
S1-609996572,"S2-40869239,S2-672443639,S2-190427009,S2-657417123,S3-262044007,S3-366128148"
S1-236768477,"S2-490929782,S2-765988280,S3-135901754,S3-40245970,S3-103597021"
S1-86469552,"S2-328039185,S3-220000395,S3-918163916,S3-479224552"
S1-238175541,"S2-558978413,S3-542988034,S3-905308312"
S1-849670817,"S2-110881580,S2-620496053,S2-414936885,S2-151920731,S3-188936373,S3-57849762,S3-32572135"
S1-445868199,"S2-872518576,S3-527067015,S3-924959775"
S1-289512402,"S2-547617311,S3-89827315,S3-145008714,S3-866244606"
S1-842582339,"S2-718008063,S2-332783247,S3-517179359,S3-923995241,S3-789259677,S3-84822830,S3-455248213"
S1-54193164,"S2-414539794,S2-434257717,S2-676269902,S3-687331533,S3-486621278"
S1-508701481,"S2-712560178,S2-316212039,S2-1173491,S3-444227012"
S1-38836424,"S2-589094691,S3-881605497,S3-112223799"
S1-888185705,S3-521406491
S1-298796171,
S1-65040114,S2-66755406
S1-485414585,"S2-333748173,S3-122687142,S3-730989427,S3-425803841"
S1-994893973,"S2-203258493,S3-360939675"
S1-140763859,"S2-672232195,S2-952678608,S3-912364563,S3-998314844"
S1-705293979,S3-967828286
S1-618624562,"S2-160477274,S2-961810110,S2-14084129,S3-441239023"
S1-997802413,"S2-261550171,S2-926905985,S3-317367352,S3-720276770,S3-440432997"
S1-679550141,"S2-876234727,S2-803016719,S3-937330852,S3-805670560,S3-712537949,S3-300368164"
S1-73533983,"S2-48233411,S2-99841727,S3-785488951"
S1-139001469,"S2-94756237,S2-44497918,S3-207399315"
S1-472424906,"S2-221481547,S2-814158570,S3-346286668,S3-257476923,S3-869369045,S3-386776122"
S1-849274176,"S2-34421487,S2-769215892,S2-780835769,S3-168674505"
S1-759418496,"S2-924496535,S2-971927879,S2-738948758,S2-622075002,S3-995238469"
S1-776686932,"S2-667655982,S2-200619743,S3-653415229,S3-675413406"
S1-61094929,"S2-300149849,S3-681449520,S3-899083547,S3-728538969"
S1-482246278,"S2-715957744,S3-576586964,S3-409374685,S3-320053472"
S1-660909577,"S2-290734878,S2-367610025,S2-445772691,S3-775037416,S3-49358837"
S1-873415495,"S2-930302127,S2-447283628,S3-264890869"
S1-887286027,"S2-419080910,S2-194799692,S3-879493126,S3-691429700"
S1-935335906,S2-577689878
S1-115827165,"S2-537593145,S3-655137558,S3-27891438,S3-494929490,S3-407678354,S3-153172012"
S1-680347141,S3-315706239
S1-721605946,"S2-429513205,S2-9535204"
S1-478804382,"S2-949124193,S2-386167994,S3-105647246,S3-123682857,S3-838160083"
S1-399360980,"S2-13956324,S2-347388159,S3-374508454"
S1-946063787,"S2-96281545,S3-255658738"
S1-679981169,"S2-548700789,S2-756848974,S3-559602234,S3-385446229,S3-902644030,S3-253689376"
S1-852122558,"S2-13742356,S2-836861185,S3-541486453"
S1-654078241,"S2-27298391,S2-542793063,S3-778778307,S3-45895204"
S1-574271583,"S2-567264163,S2-626684761,S2-308807234"
S1-658984896,"S2-696163364,S2-37217309,S3-702254487,S3-840280069,S3-627345153"
S1-452967807,"S2-890764231,S2-777341549,S2-360702286,S3-39218497,S3-296354640"
S1-657325262,"S2-301300035,S2-463332740,S3-76857645,S3-461081164"
S1-643535950,"S2-585909854,S2-401486146,S3-358233206,S3-760214219"
S1-331538406,"S2-796474854,S3-132376439"
S1-543874807,"S2-953534056,S3-34254854"
S1-106444962,"S2-286980458,S3-965045781,S3-563299717"
S1-144239108,"S2-458585786,S2-894769041,S3-763849963,S3-343516741,S3-172928912,S3-483249593"
S1-30407062,"S2-71016918,S3-217933567"
S1-438778357,"S2-486963367,S2-945217743,S3-869399325,S3-480050557,S3-877961637"
S1-214603601,"S2-427913641,S3-930269422"
S1-251124112,"S2-814927676,S3-529853039"
S1-95631098,"S2-396676093,S3-485547199,S3-589219360,S3-864807199"
S1-6536886,"S2-571765856,S3-492584127,S3-818730454"
S1-936762728,"S2-261521011,S3-753767840,S3-519366815,S3-694371926"
S1-612170454,"S2-561548830,S2-215445268,S3-593746032,S3-222750920,S3-491355510,S3-101093750"
S1-574902381,"S2-537298124,S3-288419509,S3-818620666"
S1-635996806,"S2-756480026,S2-445999214,S3-770372727"
S1-266344604,"S2-568551176,S2-137828681,S3-362251097,S3-912583004,S3-419735406,S3-498162929,S3-300641912"
S1-105568631,"S2-743200797,S3-686929711"
S1-534481010,"S2-585844839,S2-68982903,S2-454159039,S3-41198697"
S1-107023539,
S1-785467099,
S1-39001923,"S2-154102797,S3-31977274"
S1-536166111,"S2-997199702,S2-608893501,S3-824895734,S3-773720262,S3-441934598"
S1-198632900,"S2-746378757,S2-797407527,S3-538157416"
S1-234200949,"S2-691836232,S3-885421313"
S1-632458045,"S2-60917290,S2-606260225,S3-755795047,S3-359610633"
S1-793444283,"S2-970830420,S3-154533532,S3-247104730,S3-69332653,S3-929731081"
S1-342756019,"S2-86156493,S3-896407818,S3-198574741,S3-502144840"
S1-542878809,"S2-705264903,S3-870977650"
S1-906973556,"S2-778660695,S2-828310920,S3-419363003"
S1-218988401,"S3-149207190,S3-812648319,S3-826909818"
S1-63990887,"S2-965330367,S3-798582752,S3-708821241"
S1-68028659,"S2-47997413,S2-949097457,S3-680454969"
S1-144526682,"S2-657272952,S3-324803888,S3-927703485,S3-183169633"
S1-521254993,"S2-391342801,S2-260029909,S3-543206384,S3-112547717,S3-96785772,S3-228683231"
S1-184017157,"S2-55250528,S3-771795745,S3-382064174"
S1-612484899,"S2-211182661,S2-639169093,S3-690547751,S3-841814343"
S1-315874798,"S2-178788281,S2-792185760,S3-652494810,S3-22789765"
S1-271831358,"S3-513489826,S3-658827774,S3-165943040"
S1-103101914,"S2-742857142,S2-262119045,S3-464737380,S3-918907997,S3-861731389,S3-681097377"
S1-739445941,"S2-439082067,S2-682294868,S3-176788284"
S1-818389760,"S3-312995706,S3-673029335,S3-909659440,S3-840843392,S3-705061486"
S1-772737756,"S2-880959775,S3-73995214,S3-203926449"
S1-399285508,"S2-731347569,S3-74011663"
S1-103117232,"S2-457262539,S2-850809561,S3-396890083,S3-554090310,S3-45065978,S3-212205545"
S1-60587840,"S2-477249487,S2-64105353,S3-45263592"
S1-984142916,"S2-288445689,S3-301749053,S3-892364007"
S1-882344007,"S2-945518331,S3-583479480,S3-549002145,S3-742522748"
S1-661697526,"S2-807247864,S2-869339164,S3-305426707,S3-232517336"
S1-22787740,"S2-919846730,S3-337828913"
S1-365033919,"S2-118656392,S2-57526213,S3-549929363,S3-529091972,S3-201940235"
S1-486019406,"S2-908177369,S2-729883804,S3-1796850"
S1-304116959,"S2-662227064,S2-731163714,S3-316672413"
S1-586699005,"S2-253918587,S2-294026675,S2-481348736"
S1-301281894,"S2-730219026,S3-782875130,S3-135158431,S3-966357757"
S1-21947145,"S2-493042595,S3-755318884"
S1-281088937,"S2-996249340,S2-764689758,S3-188494008"
S1-22633084,"S2-680658950,S3-912074059"
S1-788020043,"S2-881028278,S3-810547728"
S1-321518647,"S2-159699565,S2-593553372,S2-419844886,S3-939463833"
S1-583365562,"S2-541281477,S2-459777891,S3-984436624"
S1-555737979,"S2-765500135,S3-793215927,S3-463357539"
S1-471318994,S3-495325432
S1-756873540,S3-532576288
S1-503958794,"S2-375677540,S3-236630190,S3-606690831,S3-238186629"
S1-810457001,"S2-688071043,S3-242149005"
S1-100166899,"S2-375611616,S3-548424106,S3-984114240"
S1-690375126,"S2-614304353,S3-467195779"
S1-780523337,"S2-714985130,S3-600991450,S3-89017126"
S1-308262271,"S2-696354721,S2-877910903,S3-866103109,S3-149565445,S3-357540678"
S1-364336090,"S2-182038679,S2-351356705,S2-193603638,S2-784107762,S3-919998739,S3-279130419"
S1-445964147,
S1-845031035,"S2-350487755,S3-40724734,S3-584285454"
S1-629810901,"S2-224541894,S2-211199903,S2-844618172,S3-373030684,S3-918897579,S3-162950255,S3-710615101"
S1-445268029,S2-371928720
S1-543760819,"S2-829732434,S3-462001538"
S1-740195204,"S2-159228957,S3-886873951,S3-140801111,S3-191589398"
S1-804036808,"S2-887593036,S3-970881689,S3-847395306,S3-539278386,S3-997522896"
S1-829232083,"S2-553563872,S2-219079951,S3-248865687,S3-919114016"
S1-708400226,"S2-11447624,S2-737021373,S2-636078522,S3-952283138,S3-654593788,S3-614607391,S3-508757891,S3-729109395"
S1-987010937,
S1-629022966,"S2-783840532,S3-189110145,S3-803878481"
S1-604460015,"S2-911268673,S3-721391475,S3-415858583,S3-671234763"
S1-414440524,"S2-92811564,S2-970107098,S2-425190015,S3-15852224,S3-500027332,S3-526807850"
S1-392583935,"S2-11653846,S3-998181795,S3-887301550,S3-235940504,S3-639422519,S3-375452813"
S1-546177410,"S2-648883949,S2-475365032,S3-442260626,S3-935513474"
S1-528834818,"S3-678185343,S3-543011232,S3-417069994"
S1-913573536,"S2-529933432,S2-7363092,S2-788333626"
S1-958113941,"S2-994219982,S2-965964281,S3-318277109"
S1-414906130,"S2-216562420,S3-782386729,S3-261753551"
S1-274119005,
S1-994856538,"S2-857959104,S2-23075265,S3-643687320,S3-657205470"
S1-180353640,"S2-333591506,S2-532682866,S3-415461067,S3-375486976"
S1-381914282,"S2-729980796,S3-944441383"
S1-342623084,S3-638458303
S1-482014426,"S2-40943466,S2-376486539,S3-634613862"
S1-379642285,"S2-691306905,S3-504998715"
S1-759630170,"S2-996573898,S2-103841553"
S1-151299429,"S2-582070018,S2-146219373,S3-939400153,S3-988252212"
S1-382680258,"S2-47230496,S3-247836878"
S1-806616139,"S2-828873290,S2-512833764,S3-380458323,S3-837289282"
S1-883281842,"S2-470387998,S2-667852727,S2-957935953,S2-466747962,S2-165103426,S3-271888732"
S1-314686399,"S2-230805573,S2-325927160,S3-497391726,S3-808877842"
S1-337241318,"S2-511770959,S2-541547376,S3-866595649,S3-240807196"
S1-977682665,S2-816951244
S1-463038301,"S2-852363557,S3-789061427,S3-269207593"
S1-349683786,"S2-608223,S2-983792162,S2-688450525,S2-867916104,S3-622831211,S3-945954532"
S1-256360591,"S2-89430911,S2-86610472,S3-540847507,S3-966978346"
S1-3118239,"S2-384807569,S2-184568209,S3-966155454,S3-94426820,S3-761340400"
S1-157064113,"S2-154047991,S2-515772498,S2-676656107,S2-732066785,S3-232709696"
S1-417911003,"S2-891161363,S2-115770378,S2-130680691,S3-214861211,S3-303982146,S3-946216832,S3-760876252"
S1-435197119,"S2-23416594,S2-976363731,S3-960556230"
S1-779770033,"S2-344418723,S2-834246878,S3-909567604"
S1-983434572,"S2-46045217,S2-431865612,S3-149886499"
S1-573194865,"S2-879535233,S3-266974359,S3-918036809,S3-224592930,S3-966842267"
S1-47773771,"S2-163907414,S3-514311755,S3-783274386,S3-515914744,S3-312828212"
S1-955236847,"S2-648248063,S2-209994890,S2-683061450,S2-36451247,S3-775900901,S3-330635341,S3-825674254"
S1-38856492,"S2-737936743,S2-739908827,S3-665929660,S3-6943995"
S1-536974738,"S2-187648463,S3-509162315"
S1-256655652,"S2-528505089,S3-414220347"
S1-344951721,"S2-893939251,S2-693214144,S2-872248490,S2-183527790,S3-377348825"
S1-104064742,"S2-878954544,S2-627699238,S2-464206083,S2-214943792,S3-917431661,S3-761084969"
S1-164824018,"S2-680044356,S2-653231350,S2-473831507,S3-405555985"
S1-639237507,"S2-461139678,S2-7687064,S3-694588157,S3-702804276"
S1-342698190,"S2-641536912,S3-478289654,S3-33593694"
S1-685871904,"S2-408726804,S2-985602105,S3-740323634,S3-834325663"
S1-874660306,"S2-279857860,S3-289365741"
S1-973731236,"S2-135390994,S2-737853111,S2-91933930,S2-331544324,S3-223359212,S3-804923215,S3-202684359"
S1-644361545,"S2-262917378,S3-218927372,S3-103194134,S3-926258275,S3-581612076"
S1-798312676,"S2-126005750,S3-243209227,S3-256208237"
S1-452365054,"S2-171624648,S2-489002971,S3-59980699"
S1-267774485,"S2-983709883,S2-30805620,S3-822082751"
S1-392556227,"S2-742398993,S3-974771944,S3-101232577,S3-419803661,S3-486250442"
S1-944739248,"S2-945201800,S2-584606321,S2-98475187,S3-248834661,S3-408294313"
S1-615771798,S2-46957492
S1-170974075,"S2-805174189,S2-141531043,S2-412422463,S3-992417774"
S1-591389430,"S2-59415589,S2-822409969,S3-232459295,S3-462020786"
S1-17273223,"S2-32135349,S3-883734251"
S1-834253524,S3-560791095
S1-450482374,"S2-489606872,S2-258729878,S3-973036878"
S1-597619383,"S2-118180047,S3-390171777,S3-180485796,S3-567956556"
S1-280910635,"S2-677295141,S2-642298659,S3-843797194,S3-283028083"
S1-246404006,"S2-885479012,S2-224195048,S2-394372351,S3-362974038"
S1-310087226,"S2-35881931,S3-19364259"
S1-89209690,"S2-510581586,S3-109917852,S3-326466159"
S1-64045011,"S2-615990414,S3-305681780"
S1-421464868,"S2-512630762,S2-410989478,S3-150432730,S3-917654928"
S1-251261466,"S2-690221283,S3-359538068,S3-549854648,S3-772097493"
S1-148802034,"S2-309428859,S2-773402563,S2-791701658,S2-676822828"
S1-67726616,"S2-585223289,S2-941102715,S2-656089177,S3-879056037,S3-43130533"
S1-338630028,"S3-399225883,S3-701279458,S3-252741503,S3-506724053"
S1-230118833,S2-590300910
S1-147076436,"S2-192765495,S3-455785972"
S1-748085733,"S2-586377600,S2-221970764"
S1-32868848,"S2-765720249,S2-158294062,S3-528706011,S3-47483283,S3-649622959,S3-760594020"
S1-281769561,
S1-733034026,
S1-172144933,"S2-111754431,S2-65681863,S2-761061968,S2-886255235,S3-508398739"
S1-353071795,"S2-963030850,S2-59119022,S3-413829741,S3-861271718,S3-548189878"
S1-296476213,"S2-875893829,S2-702366846,S2-186467125,S2-5802395,S3-901069196,S3-597423831,S3-84736614"
S1-749530768,"S3-684861383,S3-353034749,S3-524199714"
S1-681402684,"S2-38516840,S3-221909416,S3-764107988"
S1-464933567,"S2-401886669,S3-565398475,S3-354114486"
S1-88552907,"S2-741941433,S2-697980455,S2-134226183,S2-772737994,S3-966847463,S3-77783290,S3-287594591"
S1-919324708,S2-214262620
S1-670832200,"S2-907790762,S2-160838125,S3-202672069"
S1-496331216,"S2-198865808,S3-43022101,S3-247018126"
S1-435692876,"S3-13086357,S3-820658843"
